time,open,high,low,close,volume,close_time,quote_volume,trades,taker_base,taker_quote,ignore
2026-02-09 04:00:00,0.09715,0.09715,0.0949,0.09534,80712003.0,1770623999999,7739719.43243000,97714,36573959.00000000,3507104.22863000,0
2026-02-09 08:00:00,0.09534,0.09538,0.09243,0.09319,163061465.0,1770638399999,15296570.51146000,172145,68904180.00000000,6457475.16317000,0
2026-02-09 12:00:00,0.0932,0.09563,0.09314,0.09522,111761060.0,1770652799999,10546765.70020000,191535,52896329.00000000,4988900.19150000,0
2026-02-09 16:00:00,0.09521,0.09678,0.09433,0.09636,128549598.0,1770667199999,12316744.83976000,187432,68900183.00000000,6602137.63606000,0
2026-02-09 20:00:00,0.09636,0.097,0.09529,0.09611,80321177.0,1770681599999,7733055.69957000,93211,42418461.00000000,4084646.69431000,0
2026-02-10 00:00:00,0.09612,0.09657,0.09426,0.09487,60330399.0,1770695999999,5765805.74934000,96858,22630816.00000000,2164807.62631000,0
2026-02-10 04:00:00,0.09488,0.09567,0.09297,0.09367,100619555.0,1770710399999,9485992.17232000,114707,44190605.00000000,4167111.46236000,0
2026-02-10 08:00:00,0.09367,0.09423,0.09273,0.09294,72629692.0,1770724799999,6789021.65035000,80145,36842670.00000000,3445177.49042000,0
2026-02-10 12:00:00,0.09293,0.09377,0.09182,0.09303,140335576.0,1770739199999,13035104.82472000,208094,72094218.00000000,6699878.65437000,0
2026-02-10 16:00:00,0.09304,0.09417,0.09219,0.09306,85561738.0,1770753599999,7973399.02746000,164139,44361018.00000000,4134998.95183000,0
2026-02-10 20:00:00,0.09306,0.09318,0.09228,0.09277,38014667.0,1770767999999,3527901.06058000,67305,20717684.00000000,1922558.64451000,0
2026-02-11 00:00:00,0.09277,0.09362,0.09212,0.093,44260656.0,1770782399999,4113545.73272000,61156,19844355.00000000,1843727.90194000,0
2026-02-11 04:00:00,0.09301,0.09323,0.09021,0.09056,129591011.0,1770796799999,11847544.18977000,146334,56382687.00000000,5150455.66050000,0
2026-02-11 08:00:00,0.09056,0.0907,0.0894,0.09023,104731492.0,1770811199999,9434054.77528000,114520,45260472.00000000,4077477.31023000,0
2026-02-11 12:00:00,0.09023,0.09255,0.0879,0.08903,268661325.0,1770825599999,24175260.56171000,376429,140825800.00000000,12669510.36562000,0
2026-02-11 16:00:00,0.08902,0.09142,0.0887,0.09107,139083432.0,1770839999999,12548330.14234000,231676,68679844.00000000,6200305.81377000,0
2026-02-11 20:00:00,0.09106,0.09227,0.09032,0.09112,101816054.0,1770854399999,9297777.53195000,125969,47561814.00000000,4347279.34070000,0
2026-02-12 00:00:00,0.09113,0.09229,0.09112,0.09218,56236972.0,1770868799999,5155393.25395000,76670,25868509.00000000,2371842.88371000,0
2026-02-12 04:00:00,0.09218,0.09305,0.09149,0.09295,125011116.0,1770883199999,11523290.71863000,88253,60580345.00000000,5583693.30895000,0
2026-02-12 08:00:00,0.09295,0.09427,0.09242,0.09388,78374147.0,1770897599999,7320009.53956000,99194,41265140.00000000,3854918.59258000,0
